name,price,discount,date
Giacomo GI1007,76900,30% marcos + cristales,2024-07-01 00:15:00
Giacomo GI1016,76900,30% marcos + cristales,2024-07-01 00:15:00
Kalani KA1011,0,$1,2024-07-01 00:15:00
Harper HA1074,43900,30% marcos + cristales,2024-07-01 00:15:00
Kalani KA1012,0,$1,2024-07-01 00:15:00
Kalani KA1009,0,$1,2024-07-01 00:15:00
Kalani KA1010,0,$1,2024-07-01 00:15:00
Harper HA1015,54900,30% marcos + cristales,2024-07-01 00:15:00
Lucca LU1024,32900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1010,54900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1308,32900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1014,54900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1312,32900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1003,43900,30% marcos + cristales,2024-07-01 00:15:00
Lucca LU1013,32900,30% marcos + cristales,2024-07-01 00:15:00
Kalani KA1060,0,$1,2024-07-01 00:15:00
Kalani KA1039,0,$1,2024-07-01 00:15:00
Kalani KA1040,0,$1,2024-07-01 00:15:00
Harper HA1002,54900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1055,43900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1016,54900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1124,32900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1158 Clip On,65900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1145,43900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1012,43900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1123,32900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1011,43900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1007,54900,30% marcos + cristales,2024-07-01 00:15:00
Lucca LU1028,32900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1315,32900,30% marcos + cristales,2024-07-01 00:15:00
Harper HA1336 Clip On,54900,30% marcos + cristales,2024-07-01 00:15:00
Lucca LU1030,32900,30% marcos + cristales,2024-07-01 00:15:00
Kalani KA1037,0,$1,2024-07-01 00:15:00
Giacomo GI1001,76900,30% marcos + cristales,2024-07-01 00:15:00
Giacomo GI1010,76900,30% marcos + cristales,2024-07-01 00:15:00
Kalani KA1005,0,$1,2024-07-01 00:15:00
Harper HA1070,43900,30% marcos + cristales,2024-07-01 00:15:00
Kalani KA1003,0,$1,2024-07-01 00:15:00
Giacomo GI1003,76900,30% marcos + cristales,2024-07-01 00:15:00
Kalani KA1058,0,$1,2024-07-01 00:15:00
Kalani KA1044,0,$1,2024-07-01 00:15:00
